x,y,color,target,time,
0.00837483,0.0229676,1,1,952494, 
0.00837483,0.0229676,1,1,1959510, 
0.00837483,0.0229676,1,1,2938080, 
0.00837483,0.0229676,1,1,3943110, 
0.00837483,0.0229676,1,1,4943410, 
0.00837483,0.0229676,1,1,5953980, 
0.00837483,0.0229676,1,1,6947170, 
0.00837483,0.0229676,1,1,7981440, 
0.00837483,0.0229676,1,1,8935120, 
0.00717843,0.0229676,1,1,9967020, 
0.00717843,0.0229676,1,1,10965300, 
0.00717508,0.0235476,1,1,11957300, 
0.00717508,0.0235476,1,1,12942200, 
0.00717508,0.0235476,1,1,13918400, 
0.00717508,0.0235476,1,1,14951500, 
0.00717508,0.0235476,1,1,15981400, 
0.00717508,0.0235476,1,1,16942200, 
0.00717508,0.0235476,1,1,17912500, 
0.00717508,0.0235476,1,1,19026600, 
0.00717508,0.0235476,1,1,19841600, 
0.00717508,0.0235476,1,1,20890500, 
0.00717508,0.0235476,1,1,21937400, 
0.00597924,0.0235476,1,1,22926600, 
0.00597644,0.0241271,1,1,23957400, 
0.00597644,0.0241271,1,1,24948600, 
0.00597644,0.0241271,1,1,25991100, 
0.00597644,0.0241271,1,1,26946000, 
0.00597644,0.0241271,1,1,27979900, 
0.00478116,0.0241271,1,1,28982500, 
0.00478116,0.0241271,1,1,29973400, 
0.00478116,0.0241271,1,1,30919100, 
0.00478116,0.0241271,1,1,31960900, 
0.00478116,0.0241271,1,1,32932800, 
0.00477892,0.024706,1,1,33946900, 
0.00477892,0.024706,1,1,34981600, 
0.00477892,0.024706,1,1,35941600, 
0.00358419,0.024706,1,1,36920900, 
0.00358419,0.024706,1,1,37928300, 
0.00358419,0.024706,1,1,38958600, 
0.00358419,0.024706,1,1,39976700, 
0.00358419,0.024706,1,1,40944200, 
0.00358419,0.024706,1,1,41952000, 
0.00358419,0.024706,1,1,43014000, 
0.00238946,0.0247061,1,1,43847100, 
0.00238946,0.0247061,1,1,44937500, 
0.00238946,0.0247061,1,1,45971000, 
0.00238834,0.0252844,1,1,47007600, 
0.00238834,0.0252844,1,1,47981900, 
0.00238834,0.0252844,1,1,48949400, 
0.00238834,0.0252844,1,1,49991500, 
0.00238834,0.0252844,1,1,50948400, 
0.00238834,0.0252844,1,1,51951800, 
0.00238834,0.0252844,1,1,52951000, 
0.00119417,0.0252844,1,1,53929500, 
0.00119361,0.0258622,1,1,54960200, 
0.00119361,0.0258622,1,1,55932500, 
0.00119361,0.0258622,1,1,56955300, 
0.00119361,0.0258622,1,1,57982100, 
0.00119361,0.0258622,1,1,58944000, 
0.00119361,0.0258622,1,1,59952200, 
0.00119361,0.0258622,1,1,60956100, 
0.00119361,0.0258622,1,1,61941800, 
0.00119361,0.0258622,1,1,62966600, 
0,0.0258622,1,1,63994900, 
0,0.0258622,1,1,65007900, 
0,0.0258622,1,1,65931100, 
0,0.0264395,1,1,66996200, 
0,0.0264395,1,1,67960900, 
0,0.0264395,1,1,68956900, 
0,0.0264395,1,1,69914900, 
0,0.0264395,1,1,70929400, 
0,0.0264395,1,1,71941600, 
0,0.0264395,1,1,72919400, 
0,0.0264395,1,1,73981300, 
0,0.0264395,1,1,74961800, 
0,0.0264395,1,1,75921400, 
0,0.0264395,1,1,76915000, 
0,0.0264395,1,1,77942200, 
-0.00119305,0.0264395,1,1,78983600, 
-0.00119249,0.0270162,1,1,80007600, 
-0.00119249,0.0270162,1,1,80991300, 
-0.00119249,0.0270162,1,1,81975000, 
-0.00119249,0.0270162,1,1,82920000, 
-0.00119249,0.0270162,1,1,83958600, 
-0.00119249,0.0270162,1,1,84952200, 
-0.00119249,0.0270162,1,1,85952900, 
-0.00119249,0.0270162,1,1,86941300, 
-0.00119249,0.0270162,1,1,87929000, 
-0.00119249,0.0270162,1,1,88971100, 
-0.00119249,0.0270162,1,1,89955600, 
-0.00119249,0.0270162,1,1,90961500, 
-0.00119249,0.0270162,1,1,91932500, 
-0.00119249,0.0270162,1,1,92927300, 
-0.00119249,0.0270162,1,1,94471600, 
-0.00119249,0.0270162,1,1,94957900, 
-0.00119249,0.0270162,1,1,95969700, 
-0.00119249,0.0270162,1,1,96958500, 
-0.00119304,0.0276225,1,1,97949700, 
-0.00119304,0.0276225,1,1,98914400, 
-0.00238609,0.0276225,1,1,99983100, 
-0.00238609,0.0276225,1,1,100937000, 
-0.00238609,0.0276225,1,1,101980000, 
-0.00238609,0.0276225,1,1,102932000, 
-0.00238609,0.0276225,1,1,103938000, 
-0.00238609,0.0276225,1,1,104939000, 
-0.00238609,0.0276225,1,1,105946000, 
-0.00238609,0.0276225,1,1,106973000, 
-0.00238609,0.0276225,1,1,107953000, 
-0.00238497,0.0281986,1,1,108959000, 
-0.00238497,0.0281986,1,1,109956000, 
-0.00238497,0.0281986,1,1,110946000, 
-0.00238607,0.0288054,1,1,111914000, 
-0.00238607,0.0288054,1,1,112960000, 
-0.00238607,0.0288054,1,1,113969000, 
-0.00238607,0.0288054,1,1,114991000, 
-0.00238607,0.0288054,1,1,115948000, 
-0.00238607,0.0288054,1,1,116964000, 
-0.00238607,0.0288054,1,1,117942000, 
-0.00238607,0.0288054,1,1,119009000, 
-0.00238607,0.0288054,1,1,120035000, 
-0.00238717,0.0294128,1,1,120969000, 
-0.00238717,0.0294128,1,1,121961000, 
-0.00238717,0.0294128,1,1,122968000, 
-0.00238717,0.0294128,1,1,123988000, 
-0.00238717,0.0294128,1,1,124989000, 
-0.00238605,0.0299884,1,1,125969000, 
-0.00238605,0.0299884,1,1,126938000, 
-0.00238605,0.0299884,1,1,127967000, 
-0.00238715,0.0305963,1,1,128957000, 
-0.00238715,0.0305963,1,1,129957000, 
-0.00238715,0.0305963,1,1,130903000, 
-0.00238715,0.0305963,1,1,131964000, 
-0.00238715,0.0305963,1,1,132945000, 
-0.00238715,0.0305963,1,1,133952000, 
-0.00238825,0.0312047,1,1,134972000, 
-0.00238825,0.0312047,1,1,135943000, 
-0.00238713,0.0317798,1,1,136959000, 
-0.00238713,0.0317798,1,1,137960000, 
-0.00238713,0.0317798,1,1,138973000, 
-0.00238823,0.0323888,1,1,139963000, 
-0.00238823,0.0323888,1,1,140963000, 
-0.00238823,0.0323888,1,1,141963000, 
-0.00238823,0.0323888,1,1,142978000, 
-0.00238823,0.0323888,1,1,143910000, 
-0.00238933,0.0329983,1,1,144997000, 
-0.00238933,0.0329983,1,1,145985000, 
-0.0023882,0.0335728,1,1,146973000, 
-0.0023882,0.0335728,1,1,147961000, 
-0.0023882,0.0335728,1,1,148938000, 
-0.0023882,0.0335728,1,1,149922000, 
-0.0023882,0.0335728,1,1,150934000, 
-0.0023893,0.0341828,1,1,151986000, 
-0.0023893,0.0341828,1,1,152914000, 
-0.0023893,0.0341828,1,1,153932000, 
-0.0023893,0.0341828,1,1,154972000, 
-0.0023893,0.0341828,1,1,155946000, 
-0.0023893,0.0341828,1,1,156910000, 
-0.0023893,0.0341828,1,1,157907000, 
-0.0023904,0.0347935,1,1,158923000, 
-0.00238928,0.0353674,1,1,159968000, 
-0.00238928,0.0353674,1,1,160971000, 
-0.00238928,0.0353674,1,1,161954000, 
-0.00238928,0.0353674,1,1,162890000, 
-0.00238928,0.0353674,1,1,163976000, 
-0.00239038,0.0359785,1,1,164912000, 
-0.00239038,0.0359785,1,1,165983000, 
-0.00239038,0.0359785,1,1,166986000, 
-0.00239038,0.0359785,1,1,167929000, 
-0.00239038,0.0359785,1,1,168970000, 
-0.00239038,0.0359785,1,1,169989000, 
-0.00239148,0.0365903,1,1,170971000, 
-0.00239148,0.0365903,1,1,171918000, 
-0.00239148,0.0365903,1,1,172993000, 
-0.00239148,0.0365903,1,1,173994000, 
-0.00239148,0.0365903,1,1,174956000, 
-0.00239036,0.0371636,1,1,175999000, 
-0.00239036,0.0371636,1,1,176925000, 
-0.00239036,0.0371636,1,1,177971000, 
-0.00239145,0.0377759,1,1,178979000, 
-0.00239145,0.0377759,1,1,179974000, 
-0.00239145,0.0377759,1,1,181019000, 
-0.00239145,0.0377759,1,1,182024000, 
-0.00239145,0.0377759,1,1,182995000, 
-0.00239145,0.0377759,1,1,183994000, 
-0.00239145,0.0377759,1,1,184966000, 
-0.00239145,0.0377759,1,1,186006000, 
-0.00239145,0.0377759,1,1,187012000, 
-0.00239255,0.0383887,1,1,187940000, 
-0.00239255,0.0383887,1,1,188943000, 
-0.00239255,0.0383887,1,1,190063000, 
-0.00239255,0.0383887,1,1,191054000, 
-0.00239255,0.0383887,1,1,191982000, 
-0.00239255,0.0383887,1,1,192866000, 
-0.00239255,0.0383887,1,1,194004000, 
-0.00239365,0.039002,1,1,195027000, 
-0.00239365,0.039002,1,1,196056000, 
-0.00239365,0.039002,1,1,196988000, 
-0.00239365,0.039002,1,1,198009000, 
-0.00239365,0.039002,1,1,198982000, 
-0.00239365,0.039002,1,1,200019000, 
-0.00239365,0.039002,1,1,201037000, 
-0.00239365,0.039002,1,1,202021000, 
-0.00239365,0.039002,1,1,202996000, 
-0.00239365,0.039002,1,1,204023000, 
-0.00239365,0.039002,1,1,204988000, 
-0.00239365,0.039002,1,1,205992000, 
-0.00239365,0.039002,1,1,207026000, 
-0.00239475,0.0396159,1,1,208099000, 
-0.00239475,0.0396159,1,1,208982000, 
-0.00239475,0.0396159,1,1,210028000, 
-0.00239475,0.0396159,1,1,210960000, 
-0.00239475,0.0396159,1,1,212009000, 
-0.00239475,0.0396159,1,1,212999000, 
-0.00239475,0.0396159,1,1,214051000, 
-0.00239475,0.0396159,1,1,214973000, 
-0.00239475,0.0396159,1,1,216001000, 
-0.00239475,0.0396159,1,1,217043000, 
-0.00239475,0.0396159,1,1,217975000, 
-0.00239475,0.0396159,1,1,218969000, 
-0.00239475,0.0396159,1,1,220058000, 
-0.00239475,0.0396159,1,1,221007000, 
-0.00239475,0.0396159,1,1,222017000, 
-0.00239475,0.0396159,1,1,223093000, 
-0.00239475,0.0396159,1,1,223995000, 
-0.00239475,0.0396159,1,1,225074000, 
-0.00239475,0.0396159,1,1,226058000, 
-0.00239475,0.0396159,1,1,226980000, 
-0.00239475,0.0396159,1,1,228022000, 
-0.00239475,0.0396159,1,1,229006000, 
-0.00239475,0.0396159,1,1,230053000, 
-0.00239475,0.0396159,1,1,231063000, 
-0.00239475,0.0396159,1,1,232003000, 
-0.00239475,0.0396159,1,1,233072000, 
-0.00239475,0.0396159,1,1,234079000, 
-0.00239475,0.0396159,1,1,235007000, 
-0.00239475,0.0396159,1,1,236040000, 
-0.00239475,0.0396159,1,1,237038000, 
-0.00239475,0.0396159,1,1,238011000, 
-0.00239475,0.0396159,1,1,239027000, 
-0.00239475,0.0396159,1,1,240065000, 
-0.00239475,0.0396159,1,1,241082000, 
-0.00239475,0.0396159,1,1,242060000, 
-0.00239475,0.0396159,1,1,243137000, 
-0.00239475,0.0396159,1,1,244063000, 
-0.00239475,0.0396159,1,1,244995000, 
-0.00239475,0.0396159,1,1,246069000, 
-0.00239585,0.0402304,1,1,247003000, 
-0.00239585,0.0402304,1,1,248018000, 
-0.00239585,0.0402304,1,1,248999000, 
-0.00239585,0.0402304,1,1,250025000, 
-0.00239585,0.0402304,1,1,251057000, 
-0.00239585,0.0402304,1,1,252046000, 
-0.00239585,0.0402304,1,1,253077000, 
-0.00239585,0.0402304,1,1,254047000, 
-0.00239585,0.0402304,1,1,255030000, 
-0.00239585,0.0402304,1,1,256022000, 
-0.00239585,0.0402304,1,1,257127000, 
