x,y,z,color,target,time,
-0.21388,0.00125881,0.0892055,150,5,0.111, 
-0.215877,0.00125881,0.0891171,150,5,0.112, 
-0.217875,0.00125881,0.0890279,150,5,0.113, 
-0.217875,0.00125881,0.0890279,150,5,0.114, 
-0.219873,0.00125881,0.088938,150,5,0.115, 
-0.219827,0.00224824,0.0879344,150,5,0.116, 
-0.221824,0.00224824,0.0878436,150,5,0.117, 
-0.221824,0.00224824,0.0878436,150,5,0.118, 
-0.223821,0.00224824,0.0877519,150,5,0.119, 
-0.223775,0.00125535,0.0867544,150,5,0.12, 
-0.225772,0.00125535,0.086662,150,5,0.121, 
-0.225725,0.00224438,0.0856581,150,5,0.122, 
-0.227721,0.00224438,0.0855649,150,5,0.123, 
-0.227721,0.00224438,0.0855649,150,5,0.124, 
-0.229717,0.00224438,0.0854708,150,5,0.125, 
-0.229717,0.00224438,0.0854708,150,5,0.126, 
-0.231665,0.00323301,0.0843717,150,5,0.127, 
-0.233661,0.00323301,0.084276,150,5,0.128, 
-0.233661,0.00323301,0.084276,150,5,0.129, 
-0.235656,0.00323301,0.0841795,150,5,0.13, 
-0.235656,0.00323301,0.0841795,150,5,0.131, 
-0.237652,0.00323301,0.0840822,150,5,0.132, 
-0.237603,0.0042212,0.0830776,150,5,0.133, 
-0.239549,0.00322871,0.0819817,150,5,0.134, 
-0.239549,0.00322871,0.0819817,150,5,0.135, 
-0.241543,0.00322871,0.0818828,150,5,0.136, 
-0.241543,0.00322871,0.0818828,150,5,0.137, 
-0.241493,0.0042165,0.0808778,150,5,0.138, 
-0.243487,0.0042165,0.0807781,150,5,0.139, 
-0.243487,0.0042165,0.0807781,150,5,0.14, 
-0.243487,0.0042165,0.0807781,150,5,0.141, 
-0.245481,0.0042165,0.0806776,150,5,0.142, 
-0.245481,0.0042165,0.0806776,150,5,0.143, 
-0.24543,0.0052039,0.0796723,150,5,0.144, 
-0.247424,0.0052039,0.0795709,150,5,0.145, 
-0.247424,0.0052039,0.0795709,150,5,0.146, 
-0.247424,0.0052039,0.0795709,150,5,0.147, 
-0.249366,0.0061909,0.0784631,150,5,0.148, 
-0.249366,0.0061909,0.0784631,150,5,0.149, 
-0.249366,0.0061909,0.0784631,150,5,0.15, 
-0.249366,0.0061909,0.0784631,150,5,0.151, 
-0.249314,0.00717746,0.077457,150,5,0.152, 
-0.251307,0.00717746,0.0773541,150,5,0.153, 
-0.251307,0.00717746,0.0773541,150,5,0.154, 
-0.251307,0.00717746,0.0773541,150,5,0.155, 
-0.251255,0.00816362,0.0763476,150,5,0.156, 
-0.253247,0.00816362,0.0762439,150,5,0.157, 
-0.253247,0.00816362,0.0762439,150,5,0.158, 
-0.253247,0.00816362,0.0762439,150,5,0.159, 
-0.253195,0.00717153,0.0752459,150,5,0.16, 
-0.253142,0.00815729,0.074239,150,5,0.161, 
-0.255134,0.00815729,0.0741345,150,5,0.162, 
-0.255134,0.00815729,0.0741345,150,5,0.163, 
-0.255134,0.00815729,0.0741345,150,5,0.164, 
-0.257125,0.00815729,0.0740292,150,5,0.165, 
-0.257072,0.00914261,0.073022,150,5,0.166, 
-0.257072,0.00914261,0.073022,150,5,0.167, 
-0.257072,0.00914261,0.073022,150,5,0.168, 
-0.257072,0.00914261,0.073022,150,5,0.169, 
-0.259062,0.00914261,0.0729159,150,5,0.17, 
-0.259009,0.0101275,0.0719083,150,5,0.171, 
-0.259009,0.0101275,0.0719083,150,5,0.172, 
-0.259009,0.0101275,0.0719083,150,5,0.173, 
-0.259009,0.0101275,0.0719083,150,5,0.174, 
-0.258955,0.00913584,0.07091,150,5,0.175, 
-0.260891,0.0101204,0.0697951,150,5,0.176, 
-0.260891,0.0101204,0.0697951,150,5,0.177, 
-0.260891,0.0101204,0.0697951,150,5,0.178, 
-0.260891,0.0101204,0.0697951,150,5,0.179, 
-0.260891,0.0101204,0.0697951,150,5,0.18, 
-0.260891,0.0101204,0.0697951,150,5,0.181, 
-0.260836,0.0111045,0.0687867,150,5,0.182, 
-0.260836,0.0111045,0.0687867,150,5,0.183, 
-0.260836,0.0111045,0.0687867,150,5,0.184, 
-0.260836,0.0111045,0.0687867,150,5,0.185, 
-0.260836,0.0111045,0.0687867,150,5,0.186, 
-0.260836,0.0111045,0.0687867,150,5,0.187, 
-0.260836,0.0111045,0.0687867,150,5,0.188, 
-0.260782,0.0120881,0.0677779,150,5,0.189, 
-0.260782,0.0120881,0.0677779,150,5,0.19, 
-0.260728,0.0110968,0.0667792,150,5,0.191, 
-0.260728,0.0110968,0.0667792,150,5,0.192, 
-0.260728,0.0110968,0.0667792,150,5,0.193, 
-0.260728,0.0110968,0.0667792,150,5,0.194, 
-0.260728,0.0110968,0.0667792,150,5,0.195, 
-0.260728,0.0110968,0.0667792,150,5,0.196, 
-0.260674,0.0120801,0.0657701,150,5,0.197, 
-0.260674,0.0120801,0.0657701,150,5,0.198, 
-0.260674,0.0120801,0.0657701,150,5,0.199, 
-0.260674,0.0120801,0.0657701,150,5,0.2, 
-0.260674,0.0120801,0.0657701,150,5,0.202, 
-0.262662,0.0120801,0.0656625,150,5,0.202, 
-0.262662,0.0120801,0.0656625,150,5,0.203, 
-0.262662,0.0120801,0.0656625,150,5,0.204, 
-0.262662,0.0120801,0.0656625,150,5,0.205, 
-0.262607,0.013063,0.0646529,150,5,0.206, 
-0.262607,0.013063,0.0646529,150,5,0.207, 
-0.262607,0.013063,0.0646529,150,5,0.208, 
-0.262607,0.013063,0.0646529,150,5,0.209, 
-0.262607,0.013063,0.0646529,150,5,0.21, 
-0.262607,0.013063,0.0646529,150,5,0.211, 
-0.262607,0.013063,0.0646529,150,5,0.212, 
-0.262607,0.013063,0.0646529,150,5,0.213, 
-0.262607,0.013063,0.0646529,150,5,0.214, 
-0.262607,0.013063,0.0646529,150,5,0.215, 
-0.262607,0.013063,0.0646529,150,5,0.216, 
-0.262607,0.013063,0.0646529,150,5,0.217, 
-0.262607,0.013063,0.0646529,150,5,0.218, 
-0.262607,0.013063,0.0646529,150,5,0.219, 
-0.262607,0.013063,0.0646529,150,5,0.22, 
-0.262607,0.013063,0.0646529,150,5,0.221, 
-0.262607,0.013063,0.0646529,150,5,0.222, 
-0.262607,0.013063,0.0646529,150,5,0.223, 
-0.262607,0.013063,0.0646529,150,5,0.224, 
-0.262607,0.013063,0.0646529,150,5,0.225, 
-0.262607,0.013063,0.0646529,150,5,0.226, 
-0.262553,0.0120721,0.0636538,150,5,0.227, 
-0.262553,0.0120721,0.0636538,150,5,0.228, 
-0.262553,0.0120721,0.0636538,150,5,0.229, 
-0.262553,0.0120721,0.0636538,150,5,0.23, 
-0.262498,0.0130546,0.0626439,150,5,0.231, 
-0.262498,0.0130546,0.0626439,150,5,0.232, 
-0.262498,0.0130546,0.0626439,150,5,0.233, 
-0.262498,0.0130546,0.0626439,150,5,0.234, 
-0.262498,0.0130546,0.0626439,150,5,0.235, 
-0.262498,0.0130546,0.0626439,150,5,0.236, 
-0.262498,0.0130546,0.0626439,150,5,0.237, 
-0.262498,0.0130546,0.0626439,150,5,0.238, 
-0.262498,0.0130546,0.0626439,150,5,0.239, 
-0.262498,0.0130546,0.0626439,150,5,0.24, 
-0.262498,0.0130546,0.0626439,150,5,0.241, 
-0.262498,0.0130546,0.0626439,150,5,0.242, 
-0.262498,0.0130546,0.0626439,150,5,0.243, 
-0.262498,0.0130546,0.0626439,150,5,0.244, 
-0.262498,0.0130546,0.0626439,150,5,0.245, 
-0.262498,0.0130546,0.0626439,150,5,0.246, 
-0.262498,0.0130546,0.0626439,150,5,0.247, 
-0.262498,0.0130546,0.0626439,150,5,0.248, 
-0.262498,0.0130546,0.0626439,150,5,0.249, 
-0.262498,0.0130546,0.0626439,150,5,0.25, 
-0.262498,0.0130546,0.0626439,150,5,0.251, 
-0.262498,0.0130546,0.0626439,150,5,0.252, 
-0.262498,0.0130546,0.0626439,150,5,0.253, 
-0.262498,0.0130546,0.0626439,150,5,0.254, 
-0.262498,0.0130546,0.0626439,150,5,0.255, 
-0.262498,0.0130546,0.0626439,150,5,0.256, 
-0.262498,0.0130546,0.0626439,150,5,0.257, 
-0.262498,0.0130546,0.0626439,150,5,0.258, 
-0.260511,0.0130546,0.0627514,150,5,0.259, 
-0.260511,0.0130546,0.0627514,150,5,0.26, 
-0.260511,0.0130546,0.0627514,150,5,0.261, 
-0.260511,0.0130546,0.0627514,150,5,0.262, 
-0.260511,0.0130546,0.0627514,150,5,0.263, 
-0.260511,0.0130546,0.0627514,150,5,0.264, 
-0.260511,0.0130546,0.0627514,150,5,0.265, 
-0.260511,0.0130546,0.0627514,150,5,0.266, 
-0.260511,0.0130546,0.0627514,150,5,0.267, 
-0.258524,0.0130546,0.0628581,150,5,0.269, 
-0.258524,0.0130546,0.0628581,150,5,0.269, 
-0.258524,0.0130546,0.0628581,150,5,0.27, 
-0.258524,0.0130546,0.0628581,150,5,0.271, 
-0.258524,0.0130546,0.0628581,150,5,0.272, 
-0.258524,0.0130546,0.0628581,150,5,0.273, 
-0.258524,0.0130546,0.0628581,150,5,0.274, 
-0.258524,0.0130546,0.0628581,150,5,0.275, 
-0.258524,0.0130546,0.0628581,150,5,0.276, 
-0.258524,0.0130546,0.0628581,150,5,0.277, 
-0.258524,0.0130546,0.0628581,150,5,0.278, 
-0.258524,0.0130546,0.0628581,150,5,0.279, 
-0.258524,0.0130546,0.0628581,150,5,0.28, 
-0.256538,0.0130546,0.062964,150,5,0.281, 
-0.256538,0.0130546,0.062964,150,5,0.282, 
-0.256538,0.0130546,0.062964,150,5,0.283, 
-0.256538,0.0130546,0.062964,150,5,0.284, 
-0.256538,0.0130546,0.062964,150,5,0.285, 
-0.256538,0.0130546,0.062964,150,5,0.286, 
-0.256538,0.0130546,0.062964,150,5,0.287, 
-0.256538,0.0130546,0.062964,150,5,0.288, 
-0.256538,0.0130546,0.062964,150,5,0.289, 
-0.256538,0.0130546,0.062964,150,5,0.29, 
-0.256538,0.0130546,0.062964,150,5,0.291, 
-0.256538,0.0130546,0.062964,150,5,0.292, 
-0.256538,0.0130546,0.062964,150,5,0.293, 
-0.256538,0.0130546,0.062964,150,5,0.294, 
-0.256538,0.0130546,0.062964,150,5,0.295, 
-0.256538,0.0130546,0.062964,150,5,0.296, 
-0.256538,0.0130546,0.062964,150,5,0.297, 
-0.256538,0.0130546,0.062964,150,5,0.298, 
-0.256538,0.0130546,0.062964,150,5,0.299, 
-0.256538,0.0130546,0.062964,150,5,0.3, 
-0.256538,0.0130546,0.062964,150,5,0.302, 
-0.256538,0.0130546,0.062964,150,5,0.302, 
-0.256538,0.0130546,0.062964,150,5,0.303, 
-0.256538,0.0130546,0.062964,150,5,0.304, 
-0.256538,0.0130546,0.062964,150,5,0.305, 
-0.256538,0.0130546,0.062964,150,5,0.306, 
-0.256538,0.0130546,0.062964,150,5,0.307, 
-0.256538,0.0130546,0.062964,150,5,0.308, 
-0.256538,0.0130546,0.062964,150,5,0.309, 
-0.256538,0.0130546,0.062964,150,5,0.31, 
-0.256538,0.0130546,0.062964,150,5,0.311, 
-0.256538,0.0130546,0.062964,150,5,0.312, 
-0.256484,0.0140366,0.0619536,150,5,0.313, 
-0.256484,0.0140366,0.0619536,150,5,0.314, 
-0.256484,0.0140366,0.0619536,150,5,0.315, 
-0.256484,0.0140366,0.0619536,150,5,0.316, 
-0.256484,0.0140366,0.0619536,150,5,0.317, 
-0.256484,0.0140366,0.0619536,150,5,0.318, 
-0.256484,0.0140366,0.0619536,150,5,0.32, 
-0.256484,0.0140366,0.0619536,150,5,0.32, 
-0.254497,0.0140366,0.0620586,150,5,0.321, 
-0.254497,0.0140366,0.0620586,150,5,0.322, 
-0.254497,0.0140366,0.0620586,150,5,0.323, 
-0.254497,0.0140366,0.0620586,150,5,0.324, 
-0.254497,0.0140366,0.0620586,150,5,0.325, 
-0.254497,0.0140366,0.0620586,150,5,0.326, 
-0.254497,0.0140366,0.0620586,150,5,0.327, 
-0.254497,0.0140366,0.0620586,150,5,0.328, 
-0.254497,0.0140366,0.0620586,150,5,0.329, 
-0.254497,0.0140366,0.0620586,150,5,0.33, 
-0.252511,0.0140366,0.0621629,150,5,0.331, 
-0.252511,0.0140366,0.0621629,150,5,0.332, 
-0.252511,0.0140366,0.0621629,150,5,0.333, 
-0.252511,0.0140366,0.0621629,150,5,0.334, 
